Series Name,Series Code,Country Name,Country Code,2017 [YR2017]
"Population ages 15-64, total",SP.POP.1564.TO,Sweden,SWE,6287411
"Population ages 15-64, total",SP.POP.1564.TO,Netherlands,NLD,11110457
"Population ages 15-64, total",SP.POP.1564.TO,Finland,FIN,3440986
"Population ages 15-64, total",SP.POP.1564.TO,Estonia,EST,849251
"Population ages 15-64, total",SP.POP.1564.TO,Austria,AUT,5877874
"Population ages 15-64, total",SP.POP.1564.TO,Lithuania,LTU,1865942
"Population ages 15-64, total",SP.POP.1564.TO,Croatia,HRV,2703200
"Population ages 15-64, total",SP.POP.1564.TO,Slovenia,SVN,1365356
"Population ages 15-64, total",SP.POP.1564.TO,Hungary,HUN,6562819
"Population ages 15-64, total",SP.POP.1564.TO,Latvia,LVA,1254506
"Population ages 15-64, total",SP.POP.1564.TO,Bulgaria,BGR,4585049
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 10/02/2019,,,,
