"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	28	212628	13.2
	"Blount County, AL"	"01009"	19	58013	Unreliable
	"Calhoun County, AL"	"01015"	33	114728	28.8
	"Cullman County, AL"	"01043"	19	82755	Unreliable
	"DeKalb County, AL"	"01049"	28	71617	39.1
	"Elmore County, AL"	"01051"	10	81677	Unreliable
	"Escambia County, AL"	"01053"	14	37447	Unreliable
	"Etowah County, AL"	"01055"	38	102755	37.0
	"Houston County, AL"	"01069"	15	104346	Unreliable
	"Jefferson County, AL"	"01073"	278	659197	42.2
	"Lauderdale County, AL"	"01077"	13	92538	Unreliable
	"Lee County, AL"	"01081"	15	161604	Unreliable
	"Limestone County, AL"	"01083"	11	94402	Unreliable
	"Madison County, AL"	"01089"	82	361046	22.7
	"Marshall County, AL"	"01095"	12	95548	Unreliable
	"Mobile County, AL"	"01097"	53	413955	12.8
	"Montgomery County, AL"	"01101"	16	226646	Unreliable
	"Morgan County, AL"	"01103"	20	118818	16.8
	"St. Clair County, AL"	"01115"	29	88199	32.9
	"Shelby County, AL"	"01117"	34	213605	15.9
	"Talladega County, AL"	"01121"	15	80065	Unreliable
	"Tuscaloosa County, AL"	"01125"	36	207811	17.3
	"Walker County, AL"	"01127"	12	64058	Unreliable
	"Anchorage Borough, AK"	"02020"	79	294356	26.8
	"Fairbanks North Star Borough, AK"	"02090"	14	99703	Unreliable
	"Juneau Borough, AK"	"02110"	12	32094	Unreliable
	"Kenai Peninsula Borough, AK"	"02122"	11	58617	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	21	106532	19.7
	"Cochise County, AZ"	"04003"	29	124756	23.2
	"Coconino County, AZ"	"04005"	29	140776	20.6
	"Gila County, AZ"	"04007"	24	53501	44.9
	"Maricopa County, AZ"	"04013"	1028	4307033	23.9
	"Mohave County, AZ"	"04015"	58	207200	28.0
	"Navajo County, AZ"	"04017"	20	108956	18.4
	"Pima County, AZ"	"04019"	259	1022769	25.3
	"Pinal County, AZ"	"04021"	63	430237	14.6
	"Yavapai County, AZ"	"04025"	59	228168	25.9
	"Yuma County, AZ"	"04027"	28	207534	13.5
	"Baxter County, AR"	"05005"	12	41355	Unreliable
	"Benton County, AR"	"05007"	33	266300	12.4
	"Craighead County, AR"	"05031"	14	107115	Unreliable
	"Crawford County, AR"	"05033"	12	62996	Unreliable
	"Crittenden County, AR"	"05035"	13	48750	Unreliable
	"Faulkner County, AR"	"05045"	15	123654	Unreliable
	"Garland County, AR"	"05051"	35	98658	35.5
	"Hot Spring County, AR"	"05059"	12	33574	Unreliable
	"Jefferson County, AR"	"05069"	19	69115	Unreliable
	"Lonoke County, AR"	"05085"	10	72898	Unreliable
	"Pulaski County, AR"	"05119"	74	393956	18.8
