"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	27	212628	12.7
	"Blount County, AL"	"01009"	18	58013	Unreliable
	"Calhoun County, AL"	"01015"	31	114728	27.0
	"Cullman County, AL"	"01043"	19	82755	Unreliable
	"DeKalb County, AL"	"01049"	26	71617	36.3
	"Escambia County, AL"	"01053"	13	37447	Unreliable
	"Etowah County, AL"	"01055"	35	102755	34.1
	"Houston County, AL"	"01069"	15	104346	Unreliable
	"Jefferson County, AL"	"01073"	208	659197	31.6
	"Lauderdale County, AL"	"01077"	11	92538	Unreliable
	"Lee County, AL"	"01081"	15	161604	Unreliable
	"Madison County, AL"	"01089"	77	361046	21.3
	"Marshall County, AL"	"01095"	12	95548	Unreliable
	"Mobile County, AL"	"01097"	49	413955	11.8
	"Montgomery County, AL"	"01101"	14	226646	Unreliable
	"Morgan County, AL"	"01103"	20	118818	16.8
	"St. Clair County, AL"	"01115"	28	88199	31.7
	"Shelby County, AL"	"01117"	32	213605	15.0
	"Talladega County, AL"	"01121"	13	80065	Unreliable
	"Tuscaloosa County, AL"	"01125"	35	207811	16.8
	"Walker County, AL"	"01127"	11	64058	Unreliable
	"Anchorage Borough, AK"	"02020"	71	294356	24.1
	"Fairbanks North Star Borough, AK"	"02090"	14	99703	Unreliable
	"Juneau Borough, AK"	"02110"	12	32094	Unreliable
	"Kenai Peninsula Borough, AK"	"02122"	10	58617	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	20	106532	18.8
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	Missing	Missing	Missing
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	Missing	Missing	Missing
	"Wrangell-Petersburg Census Area, AK"	"02280"	Missing	Missing	Missing
	"Cochise County, AZ"	"04003"	28	124756	22.4
	"Coconino County, AZ"	"04005"	27	140776	19.2
	"Gila County, AZ"	"04007"	20	53501	37.4
	"Maricopa County, AZ"	"04013"	969	4307033	22.5
	"Mohave County, AZ"	"04015"	52	207200	25.1
	"Navajo County, AZ"	"04017"	16	108956	Unreliable
	"Pima County, AZ"	"04019"	247	1022769	24.2
	"Pinal County, AZ"	"04021"	59	430237	13.7
	"Yavapai County, AZ"	"04025"	56	228168	24.5
	"Yuma County, AZ"	"04027"	27	207534	13.0
	"Baxter County, AR"	"05005"	11	41355	Unreliable
	"Benton County, AR"	"05007"	31	266300	11.6
	"Craighead County, AR"	"05031"	13	107115	Unreliable
	"Crawford County, AR"	"05033"	10	62996	Unreliable
	"Crittenden County, AR"	"05035"	13	48750	Unreliable
	"Faulkner County, AR"	"05045"	15	123654	Unreliable
	"Garland County, AR"	"05051"	35	98658	35.5
	"Hot Spring County, AR"	"05059"	11	33574	Unreliable
	"Jefferson County, AR"	"05069"	15	69115	Unreliable
	"Pulaski County, AR"	"05119"	70	393956	17.8
	"Saline County, AR"	"05125"	30	119323	25.1
	"Sebastian County, AR"	"05131"	16	128107	Unreliable
	"Washington County, AR"	"05143"	18	231996	Unreliable
	"White County, AR"	"05145"	13	79016	Unreliable
	"Alameda County, CA"	"06001"	127	1663190	7.6
	"Butte County, CA"	"06007"	46	229294	20.1
	"Contra Costa County, CA"	"06013"	115	1147439	10.0
	"El Dorado County, CA"	"06017"	32	188987	16.9
	"Fresno County, CA"	"06019"	123	989255	12.4
	"Humboldt County, CA"	"06023"	44	136754	32.2
	"Imperial County, CA"	"06025"	21	182830	11.5
	"Kern County, CA"	"06029"	229	893119	25.6
	"Kings County, CA"	"06031"	15	150101	Unreliable
	"Lake County, CA"	"06033"	28	64246	43.6
	"Los Angeles County, CA"	"06037"	917	10163507	9.0
	"Madera County, CA"	"06039"	19	156890	Unreliable
	"Marin County, CA"	"06041"	38	260955	14.6
	"Mendocino County, CA"	"06045"	26	88018	29.5
	"Merced County, CA"	"06047"	34	272673	12.5
	"Monterey County, CA"	"06053"	43	437907	9.8
	"Napa County, CA"	"06055"	13	140973	Unreliable
	"Nevada County, CA"	"06057"	18	99814	Unreliable
	"Orange County, CA"	"06059"	372	3190400	11.7
	"Placer County, CA"	"06061"	42	386166	10.9
	"Riverside County, CA"	"06065"	412	2423266	17.0
