"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Baldwin County, AL"	"01003"	27	212628	12.7	13.8
	"Blount County, AL"	"01009"	18	58013	Unreliable	Unreliable
	"Calhoun County, AL"	"01015"	31	114728	27.0	29.8
	"Cullman County, AL"	"01043"	19	82755	Unreliable	Unreliable
	"DeKalb County, AL"	"01049"	26	71617	36.3	36.2
	"Escambia County, AL"	"01053"	13	37447	Unreliable	Unreliable
	"Etowah County, AL"	"01055"	35	102755	34.1	35.2
	"Houston County, AL"	"01069"	15	104346	Unreliable	Unreliable
	"Jefferson County, AL"	"01073"	208	659197	31.6	32.6
	"Lauderdale County, AL"	"01077"	11	92538	Unreliable	Unreliable
	"Lee County, AL"	"01081"	15	161604	Unreliable	Unreliable
	"Madison County, AL"	"01089"	77	361046	21.3	22.2
	"Marshall County, AL"	"01095"	12	95548	Unreliable	Unreliable
	"Mobile County, AL"	"01097"	49	413955	11.8	12.8
	"Montgomery County, AL"	"01101"	14	226646	Unreliable	Unreliable
	"Morgan County, AL"	"01103"	20	118818	16.8	18.8
	"St. Clair County, AL"	"01115"	28	88199	31.7	32.0
	"Shelby County, AL"	"01117"	32	213605	15.0	15.3
	"Talladega County, AL"	"01121"	13	80065	Unreliable	Unreliable
	"Tuscaloosa County, AL"	"01125"	35	207811	16.8	17.3
	"Walker County, AL"	"01127"	11	64058	Unreliable	Unreliable
	"Anchorage Borough, AK"	"02020"	71	294356	24.1	24.0
	"Fairbanks North Star Borough, AK"	"02090"	14	99703	Unreliable	Unreliable
	"Juneau Borough, AK"	"02110"	12	32094	Unreliable	Unreliable
	"Kenai Peninsula Borough, AK"	"02122"	10	58617	Unreliable	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	20	106532	18.8	18.9
	"Cochise County, AZ"	"04003"	28	124756	22.4	23.5
	"Coconino County, AZ"	"04005"	27	140776	19.2	22.1
	"Gila County, AZ"	"04007"	20	53501	37.4	40.6
	"Maricopa County, AZ"	"04013"	969	4307033	22.5	22.5
	"Mohave County, AZ"	"04015"	52	207200	25.1	28.5
	"Navajo County, AZ"	"04017"	16	108956	Unreliable	Unreliable
	"Pima County, AZ"	"04019"	247	1022769	24.2	25.4
	"Pinal County, AZ"	"04021"	59	430237	13.7	14.0
	"Yavapai County, AZ"	"04025"	56	228168	24.5	29.0
	"Yuma County, AZ"	"04027"	27	207534	13.0	14.9
	"Baxter County, AR"	"05005"	11	41355	Unreliable	Unreliable
	"Benton County, AR"	"05007"	31	266300	11.6	11.9
	"Craighead County, AR"	"05031"	13	107115	Unreliable	Unreliable
	"Crawford County, AR"	"05033"	10	62996	Unreliable	Unreliable
	"Crittenden County, AR"	"05035"	13	48750	Unreliable	Unreliable
	"Faulkner County, AR"	"05045"	15	123654	Unreliable	Unreliable
	"Garland County, AR"	"05051"	35	98658	35.5	38.2
	"Hot Spring County, AR"	"05059"	11	33574	Unreliable	Unreliable
	"Jefferson County, AR"	"05069"	15	69115	Unreliable	Unreliable
	"Pulaski County, AR"	"05119"	70	393956	17.8	18.4
	"Saline County, AR"	"05125"	30	119323	25.1	25.6
	"Sebastian County, AR"	"05131"	16	128107	Unreliable	Unreliable
	"Washington County, AR"	"05143"	18	231996	Unreliable	Unreliable
	"White County, AR"	"05145"	13	79016	Unreliable	Unreliable
	"Alameda County, CA"	"06001"	127	1663190	7.6	7.1
	"Butte County, CA"	"06007"	46	229294	20.1	19.5
	"Contra Costa County, CA"	"06013"	115	1147439	10.0	9.7
	"El Dorado County, CA"	"06017"	32	188987	16.9	13.9
	"Fresno County, CA"	"06019"	123	989255	12.4	13.0
	"Humboldt County, CA"	"06023"	44	136754	32.2	30.7
	"Imperial County, CA"	"06025"	21	182830	11.5	11.9
	"Kern County, CA"	"06029"	229	893119	25.6	26.2
	"Kings County, CA"	"06031"	15	150101	Unreliable	Unreliable
	"Lake County, CA"	"06033"	28	64246	43.6	35.8
