"Notes"	"State"	"State Code"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	27	212628	12.7	13.8
	"Alabama"	"01"	"Blount County, AL"	"01009"	18	58013	Unreliable	Unreliable
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	31	114728	27.0	29.8
	"Alabama"	"01"	"Cullman County, AL"	"01043"	19	82755	Unreliable	Unreliable
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	26	71617	36.3	36.2
	"Alabama"	"01"	"Escambia County, AL"	"01053"	13	37447	Unreliable	Unreliable
	"Alabama"	"01"	"Etowah County, AL"	"01055"	35	102755	34.1	35.2
	"Alabama"	"01"	"Houston County, AL"	"01069"	15	104346	Unreliable	Unreliable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	208	659197	31.6	32.6
	"Alabama"	"01"	"Lauderdale County, AL"	"01077"	11	92538	Unreliable	Unreliable
	"Alabama"	"01"	"Lee County, AL"	"01081"	15	161604	Unreliable	Unreliable
	"Alabama"	"01"	"Madison County, AL"	"01089"	77	361046	21.3	22.2
	"Alabama"	"01"	"Marshall County, AL"	"01095"	12	95548	Unreliable	Unreliable
	"Alabama"	"01"	"Mobile County, AL"	"01097"	49	413955	11.8	12.8
	"Alabama"	"01"	"Montgomery County, AL"	"01101"	14	226646	Unreliable	Unreliable
	"Alabama"	"01"	"Morgan County, AL"	"01103"	20	118818	16.8	18.8
	"Alabama"	"01"	"St. Clair County, AL"	"01115"	28	88199	31.7	32.0
	"Alabama"	"01"	"Shelby County, AL"	"01117"	32	213605	15.0	15.3
	"Alabama"	"01"	"Talladega County, AL"	"01121"	13	80065	Unreliable	Unreliable
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	35	207811	16.8	17.3
	"Alabama"	"01"	"Walker County, AL"	"01127"	11	64058	Unreliable	Unreliable
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	71	294356	24.1	24.0
	"Alaska"	"02"	"Fairbanks North Star Borough, AK"	"02090"	14	99703	Unreliable	Unreliable
	"Alaska"	"02"	"Juneau Borough, AK"	"02110"	12	32094	Unreliable	Unreliable
	"Alaska"	"02"	"Kenai Peninsula Borough, AK"	"02122"	10	58617	Unreliable	Unreliable
	"Alaska"	"02"	"Matanuska-Susitna Borough, AK"	"02170"	20	106532	18.8	18.9
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	28	124756	22.4	23.5
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	27	140776	19.2	22.1
	"Arizona"	"04"	"Gila County, AZ"	"04007"	20	53501	37.4	40.6
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	969	4307033	22.5	22.5
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	52	207200	25.1	28.5
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	16	108956	Unreliable	Unreliable
	"Arizona"	"04"	"Pima County, AZ"	"04019"	247	1022769	24.2	25.4
	"Arizona"	"04"	"Pinal County, AZ"	"04021"	59	430237	13.7	14.0
	"Arizona"	"04"	"Yavapai County, AZ"	"04025"	56	228168	24.5	29.0
	"Arizona"	"04"	"Yuma County, AZ"	"04027"	27	207534	13.0	14.9
	"Arkansas"	"05"	"Baxter County, AR"	"05005"	11	41355	Unreliable	Unreliable
	"Arkansas"	"05"	"Benton County, AR"	"05007"	31	266300	11.6	11.9
	"Arkansas"	"05"	"Craighead County, AR"	"05031"	13	107115	Unreliable	Unreliable
	"Arkansas"	"05"	"Crawford County, AR"	"05033"	10	62996	Unreliable	Unreliable
	"Arkansas"	"05"	"Crittenden County, AR"	"05035"	13	48750	Unreliable	Unreliable
	"Arkansas"	"05"	"Faulkner County, AR"	"05045"	15	123654	Unreliable	Unreliable
	"Arkansas"	"05"	"Garland County, AR"	"05051"	35	98658	35.5	38.2
	"Arkansas"	"05"	"Hot Spring County, AR"	"05059"	11	33574	Unreliable	Unreliable
	"Arkansas"	"05"	"Jefferson County, AR"	"05069"	15	69115	Unreliable	Unreliable
	"Arkansas"	"05"	"Pulaski County, AR"	"05119"	70	393956	17.8	18.4
	"Arkansas"	"05"	"Saline County, AR"	"05125"	30	119323	25.1	25.6
	"Arkansas"	"05"	"Sebastian County, AR"	"05131"	16	128107	Unreliable	Unreliable
	"Arkansas"	"05"	"Washington County, AR"	"05143"	18	231996	Unreliable	Unreliable
	"Arkansas"	"05"	"White County, AR"	"05145"	13	79016	Unreliable	Unreliable
	"California"	"06"	"Alameda County, CA"	"06001"	127	1663190	7.6	7.1
	"California"	"06"	"Butte County, CA"	"06007"	46	229294	20.1	19.5
	"California"	"06"	"Contra Costa County, CA"	"06013"	115	1147439	10.0	9.7
	"California"	"06"	"El Dorado County, CA"	"06017"	32	188987	16.9	13.9
	"California"	"06"	"Fresno County, CA"	"06019"	123	989255	12.4	13.0
	"California"	"06"	"Humboldt County, CA"	"06023"	44	136754	32.2	30.7
	"California"	"06"	"Imperial County, CA"	"06025"	21	182830	11.5	11.9
	"California"	"06"	"Kern County, CA"	"06029"	229	893119	25.6	26.2
	"California"	"06"	"Kings County, CA"	"06031"	15	150101	Unreliable	Unreliable
	"California"	"06"	"Lake County, CA"	"06033"	28	64246	43.6	35.8
	"California"	"06"	"Los Angeles County, CA"	"06037"	917	10163507	9.0	8.5
	"California"	"06"	"Madera County, CA"	"06039"	19	156890	Unreliable	Unreliable
	"California"	"06"	"Marin County, CA"	"06041"	38	260955	14.6	14.0
	"California"	"06"	"Mendocino County, CA"	"06045"	26	88018	29.5	29.5
	"California"	"06"	"Merced County, CA"	"06047"	34	272673	12.5	12.9
	"California"	"06"	"Monterey County, CA"	"06053"	43	437907	9.8	9.6
	"California"	"06"	"Napa County, CA"	"06055"	13	140973	Unreliable	Unreliable
	"California"	"06"	"Nevada County, CA"	"06057"	18	99814	Unreliable	Unreliable
	"California"	"06"	"Orange County, CA"	"06059"	372	3190400	11.7	11.0
	"California"	"06"	"Placer County, CA"	"06061"	42	386166	10.9	10.9
	"California"	"06"	"Riverside County, CA"	"06065"	412	2423266	17.0	16.6
	"California"	"06"	"Sacramento County, CA"	"06067"	213	1530615	13.9	12.8
	"California"	"06"	"San Bernardino County, CA"	"06071"	197	2157404	9.1	9.1
	"California"	"06"	"San Diego County, CA"	"06073"	483	3337685	14.5	13.5
	"California"	"06"	"San Francisco County, CA"	"06075"	184	884363	20.8	18.0
	"California"	"06"	"San Joaquin County, CA"	"06077"	145	745424	19.5	19.6
	"California"	"06"	"San Luis Obispo County, CA"	"06079"	43	283405	15.2	15.2
	"California"	"06"	"San Mateo County, CA"	"06081"	80	771410	10.4	9.6
	"California"	"06"	"Santa Barbara County, CA"	"06083"	67	448150	15.0	15.5
	"California"	"06"	"Santa Clara County, CA"	"06085"	157	1938153	8.1	7.4
	"California"	"06"	"Santa Cruz County, CA"	"06087"	43	275897	15.6	14.2
	"California"	"06"	"Shasta County, CA"	"06089"	34	179921	18.9	18.6
	"California"	"06"	"Solano County, CA"	"06095"	59	445458	13.2	12.5
	"California"	"06"	"Sonoma County, CA"	"06097"	69	504217	13.7	13.0
	"California"	"06"	"Stanislaus County, CA"	"06099"	68	547899	12.4	12.7
	"California"	"06"	"Sutter County, CA"	"06101"	10	96648	Unreliable	Unreliable
	"California"	"06"	"Tulare County, CA"	"06107"	35	464493	7.5	8.3
	"California"	"06"	"Tuolumne County, CA"	"06109"	13	54248	Unreliable	Unreliable
	"California"	"06"	"Ventura County, CA"	"06111"	148	854223	17.3	16.6
	"California"	"06"	"Yolo County, CA"	"06113"	27	219116	12.3	12.3
	"California"	"06"	"Yuba County, CA"	"06115"	16	77031	Unreliable	Unreliable
	"Colorado"	"08"	"Adams County, CO"	"08001"	110	503167	21.9	22.1
	"Colorado"	"08"	"Arapahoe County, CO"	"08005"	85	643052	13.2	13.3
	"Colorado"	"08"	"Boulder County, CO"	"08013"	45	322514	14.0	13.6
	"Colorado"	"08"	"Denver County, CO"	"08031"	152	704621	21.6	20.3
	"Colorado"	"08"	"Douglas County, CO"	"08035"	30	335299	8.9	9.6
	"Colorado"	"08"	"El Paso County, CO"	"08041"	185	699232	26.5	26.3
	"Colorado"	"08"	"Fremont County, CO"	"08043"	12	47559	Unreliable	Unreliable
	"Colorado"	"08"	"Jefferson County, CO"	"08059"	95	574613	16.5	15.7
	"Colorado"	"08"	"Larimer County, CO"	"08069"	50	343976	14.5	14.2
	"Colorado"	"08"	"Mesa County, CO"	"08077"	40	151616	26.4	26.9
	"Colorado"	"08"	"Pueblo County, CO"	"08101"	51	166475	30.6	30.4
	"Colorado"	"08"	"Weld County, CO"	"08123"	34	304633	11.2	11.5
	"Connecticut"	"09"	"Fairfield County, CT"	"09001"	173	949921	18.2	18.8
	"Connecticut"	"09"	"Hartford County, CT"	"09003"	313	895388	35.0	35.0
	"Connecticut"	"09"	"Litchfield County, CT"	"09005"	57	182177	31.3	35.9
	"Connecticut"	"09"	"Middlesex County, CT"	"09007"	49	163410	30.0	32.5
	"Connecticut"	"09"	"New Haven County, CT"	"09009"	297	860435	34.5	35.7
	"Connecticut"	"09"	"New London County, CT"	"09011"	91	269033	33.8	35.7
	"Connecticut"	"09"	"Tolland County, CT"	"09013"	47	151461	31.0	36.3
	"Connecticut"	"09"	"Windham County, CT"	"09015"	45	116359	38.7	42.5
	"Delaware"	"10"	"Kent County, DE"	"10001"	41	176824	23.2	24.4
	"Delaware"	"10"	"New Castle County, DE"	"10003"	233	559793	41.6	42.1
	"Delaware"	"10"	"Sussex County, DE"	"10005"	64	225322	28.4	33.3
	"District of Columbia"	"11"	"District of Columbia, DC"	"11001"	310	693972	44.7	44.0
	"Florida"	"12"	"Alachua County, FL"	"12001"	27	266944	10.1	11.9
	"Florida"	"12"	"Bay County, FL"	"12005"	34	183563	18.5	18.0
	"Florida"	"12"	"Brevard County, FL"	"12009"	247	589162	41.9	45.6
	"Florida"	"12"	"Broward County, FL"	"12011"	555	1935878	28.7	28.3
	"Florida"	"12"	"Charlotte County, FL"	"12015"	11	182033	Unreliable	Unreliable
	"Florida"	"12"	"Citrus County, FL"	"12017"	37	145647	25.4	33.2
	"Florida"	"12"	"Clay County, FL"	"12019"	57	212230	26.9	28.5
	"Florida"	"12"	"Collier County, FL"	"12021"	66	372880	17.7	21.9
	"Florida"	"12"	"Columbia County, FL"	"12023"	17	69612	Unreliable	Unreliable
	"Florida"	"12"	"Duval County, FL"	"12031"	443	937934	47.2	46.6
	"Florida"	"12"	"Escambia County, FL"	"12033"	55	313512	17.5	17.9
	"Florida"	"12"	"Flagler County, FL"	"12035"	20	110510	18.1	21.9
	"Florida"	"12"	"Hernando County, FL"	"12053"	38	186553	20.4	23.2
	"Florida"	"12"	"Highlands County, FL"	"12055"	19	102883	Unreliable	Unreliable
	"Florida"	"12"	"Hillsborough County, FL"	"12057"	236	1408566	16.8	15.9
	"Florida"	"12"	"Indian River County, FL"	"12061"	23	154383	14.9	17.9
	"Florida"	"12"	"Lake County, FL"	"12069"	85	346017	24.6	29.2
	"Florida"	"12"	"Lee County, FL"	"12071"	232	739224	31.4	36.9
	"Florida"	"12"	"Leon County, FL"	"12073"	26	290292	9.0	9.8
	"Florida"	"12"	"Levy County, FL"	"12075"	10	40355	Unreliable	Unreliable
	"Florida"	"12"	"Manatee County, FL"	"12081"	136	385571	35.3	41.7
	"Florida"	"12"	"Marion County, FL"	"12083"	132	354353	37.3	42.7
	"Florida"	"12"	"Martin County, FL"	"12085"	42	159923	26.3	30.0
	"Florida"	"12"	"Miami-Dade County, FL"	"12086"	325	2751796	11.8	11.4
	"Florida"	"12"	"Monroe County, FL"	"12087"	19	77013	Unreliable	Unreliable
	"Florida"	"12"	"Nassau County, FL"	"12089"	24	82721	29.0	32.6
	"Florida"	"12"	"Okaloosa County, FL"	"12091"	40	202970	19.7	20.0
	"Florida"	"12"	"Okeechobee County, FL"	"12093"	10	41605	Unreliable	Unreliable
	"Florida"	"12"	"Orange County, FL"	"12095"	229	1348975	17.0	16.5
	"Florida"	"12"	"Osceola County, FL"	"12097"	65	352180	18.5	19.0
	"Florida"	"12"	"Palm Beach County, FL"	"12099"	616	1471150	41.9	45.8
	"Florida"	"12"	"Pasco County, FL"	"12101"	155	525643	29.5	31.1
	"Florida"	"12"	"Pinellas County, FL"	"12103"	251	970637	25.9	27.3
	"Florida"	"12"	"Polk County, FL"	"12105"	145	686483	21.1	21.6
