Notes	State	State Code	County	County Code	Deaths	Population	Crude Rate	Age Adjusted Rate
	Alabama	1	"Autauga County, AL"	1001	74	975679	7.6	7.7
	Alabama	1	"Baldwin County, AL"	1003	459	3316841	13.8	14.4
	Alabama	1	"Barbour County, AL"	1005	16	524875	Unreliable	Unreliable
	Alabama	1	"Bibb County, AL"	1007	53	420148	12.6	12.6
	Alabama	1	"Blount County, AL"	1009	155	1055789	14.7	15.1
	Alabama	1	"Butler County, AL"	1013	23	393446	5.8	6.3
	Alabama	1	"Calhoun County, AL"	1015	228	2189206	10.4	10.8
	Alabama	1	"Chambers County, AL"	1017	53	662645	8	8.5
	Alabama	1	"Cherokee County, AL"	1019	56	480944	11.6	12.4
	Alabama	1	"Chilton County, AL"	1021	103	807006	12.8	13.1
	Alabama	1	"Choctaw County, AL"	1023	11	271266	Unreliable	Unreliable
	Alabama	1	"Clarke County, AL"	1025	22	496992	4.4	4.7
	Alabama	1	"Clay County, AL"	1027	13	264370	Unreliable	Unreliable
	Alabama	1	"Cleburne County, AL"	1029	27	278629	9.7	10.3
	Alabama	1	"Coffee County, AL"	1031	54	909426	5.9	6.1
	Alabama	1	"Colbert County, AL"	1033	56	1035363	5.4	5.7
	Alabama	1	"Conecuh County, AL"	1035	26	252529	10.3	10.8
	Alabama	1	"Coosa County, AL"	1037	18	215538	Unreliable	Unreliable
	Alabama	1	"Covington County, AL"	1039	33	712542	4.6	4.8
	Alabama	1	"Crenshaw County, AL"	1041	15	263078	Unreliable	Unreliable
	Alabama	1	"Cullman County, AL"	1043	172	1513843	11.4	11.7
	Alabama	1	"Dale County, AL"	1045	74	940798	7.9	8
	Alabama	1	"Dallas County, AL"	1047	37	829613	4.5	4.9
	Alabama	1	"DeKalb County, AL"	1049	178	1309494	13.6	13.6
	Alabama	1	"Elmore County, AL"	1051	79	1436208	5.5	5.5
	Alabama	1	"Escambia County, AL"	1053	150	720896	20.8	19.7
	Alabama	1	"Etowah County, AL"	1055	258	1967533	13.1	13.7
	Alabama	1	"Fayette County, AL"	1057	41	332986	12.3	12.5
	Alabama	1	"Franklin County, AL"	1059	78	595564	13.1	13.5
	Alabama	1	"Geneva County, AL"	1061	33	499601	6.6	6.9
	Alabama	1	"Henry County, AL"	1067	18	321703	Unreliable	Unreliable
	Alabama	1	"Houston County, AL"	1069	164	1855300	8.8	8.9
	Alabama	1	"Jackson County, AL"	1071	80	1011103	7.9	8.2
	Alabama	1	"Jefferson County, AL"	1073	1700	12513832	13.6	13.7
	Alabama	1	"Lamar County, AL"	1075	21	280624	7.5	8.4
	Alabama	1	"Lauderdale County, AL"	1077	141	1724673	8.2	8.6
	Alabama	1	"Lawrence County, AL"	1079	72	647747	11.1	11.6
