,,,,,,,,,,,,,,,,,,,,,,
,,"Number of National Drug Overdose Deaths Involving Select Prescription and Illicit Drugs, Ages 15-24 Years Old",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,All underlying causes of death*,,,,,,,,,,,,,,,,,,,,
,,"Source: National Center on Health Statistics, CDC WONDER",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2007-2017 Fold Change,
,  Total Overdose Deaths,"1,240","1,435","1,700","2,095","2,491","2,751","2,918","3,460","3,550","3,487","3,377","3,571","3,762","3,518","3,664","3,798","4,235","5,376","5,455",1.5,
,  Female,346,369,438,560,632,683,733,820,883,848,862,988,990,945,"1,028","1,075","1,258","1,483","1,663",1.9,
,  Male,894,"1,066","1,262","1,535","1,859","2,068","2,185","2,640","2,667","2,639","2,515","2,583","2,772","2,573","2,636","2,723","2,977","3,893","3,792",1.4,
,Any Opioid1,620,728,943,"1,178","1,399","1,596","1,684","2,096","2,175","2,294","2,229","2,387","2,545","2,343","2,486","2,706","3,082","4,027","4,094",1.9,
,  Female,141,140,203,269,306,333,371,444,491,482,521,603,624,574,640,711,871,"1,041","1,209",2.5,
,  Male,479,588,740,909,"1,093","1,263","1,313","1,652","1,684","1,812","1,708","1,784","1,921","1,769","1,846","1,995","2,211","2,986","2,885",1.7,
,Prescription Opioids2,228,288,489,641,833,"1,031","1,058","1,388","1,536","1,449","1,406","1,530","1,427","1,120",988,931,886,"1,146","1,050",0.7,
,  Female,61,69,101,152,175,202,225,290,353,299,338,389,363,289,241,252,267,294,322,0.9,
,  Male,167,219,388,489,658,829,833,"1,098","1,183","1,150","1,068","1,141","1,064",831,747,679,619,852,728,0.6,
,Prescription Opioids AND Other Synthetic Narcotics,6,11,12,21,31,28,31,52,41,55,58,65,62,42,62,81,171,289,364,8.9,
,  Female,1,5,2,9,8,9,4,14,12,11,21,26,23,10,19,27,58,88,122,10.2,
,  Male,5,6,10,12,23,19,27,38,29,44,37,39,39,32,43,54,113,201,242,8.3,
,Other Synthetic Narcotics (fentanyl)3,33,40,54,84,107,121,130,278,175,190,203,229,220,172,237,514,999,"1,958","2,655",15.2,
,  Female,5,13,15,22,34,26,25,66,47,48,53,77,60,35,68,138,281,524,778,16.6,
,  Male,28,27,39,62,73,95,105,212,128,142,150,152,160,137,169,376,718,"1,434","1,877",14.7,
,Heroin4,198,216,212,241,259,263,279,313,359,497,510,537,809,963,"1,263","1,452","1,649","1,728","1,454",4.1,
,  Female,38,36,42,56,55,57,65,57,61,96,115,118,183,241,322,373,477,453,423,6.9,
